Symbol: BAX Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,103.0,$9.68,8/23/91,,$3.50,103.0,
2,keepbusy_cross(SELL),Sell to Close,-103.0,$9.10,9/10/91,($59.45),($59.45),0.0,
3,keepbusy_cross(Buy),Buy to Open,97.0,$10.29,5/22/92,,($56.16),97.0,
4,keepbusy_cross(SELL),Sell to Close,-97.0,$10.03,6/5/92,($24.70),($84.15),0.0,
5,keepbusy_cross(Buy),Buy to Open,133.0,$7.50,1/27/95,,($57.06),133.0,
6,keepbusy_cross(SELL),Sell to Close,-133.0,$9.20,7/14/95,$226.18,$142.02,0.0,
7,keepbusy_cross(Buy),Buy to Open,31.0,$31.55,12/11/09,,$166.10,31.0,
8,keepbusy_cross(SELL),Sell to Close,-31.0,$30.97,1/29/10,($17.88),$124.14,0.0,
9,keepbusy_cross(Buy),Buy to Open,24.0,$40.68,7/7/14,,$124.14,24.0,
10,keepbusy_cross(SELL),Sell to Close,-24.0,$40.09,8/8/14,($14.05),$110.09,0.0,
11,keepbusy_cross(Buy),Buy to Open,12.0,$80.56,12/10/21,,$113.69,12.0,
12,keepbusy_cross(SELL),Sell to Close,-12.0,$80.80,2/18/22,$2.88,$112.97,0.0,
