Symbol: BOKF Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,117.0,$8.52,10/14/94,,($67.97),117.0,
2,keepbusy_cross(SELL),Sell to Close,-117.0,$7.84,10/17/94,($79.29),($79.29),0.0,
3,keepbusy_cross(Buy),Buy to Open,48.0,$20.81,3/19/99,,($84.47),48.0,
4,keepbusy_cross(SELL),Sell to Close,-48.0,$20.86,5/20/99,$2.33,($76.96),0.0,
5,keepbusy_cross(Buy),Buy to Open,31.0,$31.95,4/21/03,,($70.83),31.0,
6,keepbusy_cross(SELL),Sell to Close,-31.0,$37.00,9/30/03,$156.78,$79.82,0.0,
7,keepbusy_cross(Buy),Buy to Open,19.0,$50.50,7/21/06,,$69.37,19.0,
8,keepbusy_cross(SELL),Sell to Close,-19.0,$51.03,10/25/06,$9.98,$89.80,0.0,
9,keepbusy_cross(Buy),Buy to Open,18.0,$54.77,7/1/11,,$107.08,18.0,
10,keepbusy_cross(SELL),Sell to Close,-18.0,$52.79,8/4/11,($35.73),$54.08,0.0,
11,keepbusy_cross(Buy),Buy to Open,17.0,$57.21,6/29/12,,$70.99,17.0,
12,keepbusy_cross(SELL),Sell to Close,-17.0,$56.19,7/27/12,($17.19),$36.88,0.0,
13,keepbusy_cross(Buy),Buy to Open,16.0,$59.11,9/28/12,,$36.72,16.0,
14,keepbusy_cross(SELL),Sell to Close,-16.0,$57.57,10/22/12,($24.56),$12.32,0.0,
15,keepbusy_cross(Buy),Buy to Open,15.0,$66.24,8/1/14,,$4.37,15.0,
16,keepbusy_cross(SELL),Sell to Close,-15.0,$65.95,8/4/14,($4.34),$7.98,0.0,
