Symbol: DD Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,54.0,$18.27,11/21/86,,$21.35,54.0,
2,keepbusy_cross(SELL),Sell to Close,-54.0,$29.50,10/19/87,$606.92,$606.92,0.0,
3,keepbusy_cross(Buy),Buy to Open,41.0,$24.37,5/3/91,,$611.78,41.0,
4,keepbusy_cross(SELL),Sell to Close,-41.0,$23.69,5/8/91,($28.11),$578.81,0.0,
5,keepbusy_cross(Buy),Buy to Open,40.0,$24.49,5/17/91,,$581.18,40.0,
6,keepbusy_cross(SELL),Sell to Close,-40.0,$25.08,8/19/91,$23.58,$602.39,0.0,
7,keepbusy_cross(Buy),Buy to Open,25.0,$38.78,1/10/97,,$614.25,25.0,
8,keepbusy_cross(SELL),Sell to Close,-25.0,$38.29,1/24/97,($12.33),$590.05,0.0,
9,keepbusy_cross(Buy),Buy to Open,24.0,$40.32,5/2/97,,$587.21,24.0,
10,keepbusy_cross(SELL),Sell to Close,-24.0,$41.75,9/5/97,$34.26,$624.31,0.0,
