Symbol: DOX Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,35.0,$28.30,1/14/11,,$18.90,35.0,
2,keepbusy_cross(SELL),Sell to Close,-35.0,$28.24,3/17/11,($2.21),($2.21),0.0,
3,keepbusy_cross(Buy),Buy to Open,16.0,$59.57,12/9/16,,$13.79,16.0,
4,keepbusy_cross(SELL),Sell to Close,-16.0,$59.09,12/16/16,($7.68),($9.88),0.0,
5,keepbusy_cross(Buy),Buy to Open,16.0,$62.18,5/5/17,,($11.64),16.0,
6,keepbusy_cross(SELL),Sell to Close,-16.0,$63.74,8/14/17,$24.93,$15.05,0.0,
7,keepbusy_cross(Buy),Buy to Open,14.0,$67.70,3/9/18,,$33.67,14.0,
8,keepbusy_cross(SELL),Sell to Close,-14.0,$66.17,3/26/18,($21.47),($6.42),0.0,
9,keepbusy_cross(Buy),Buy to Open,14.0,$68.75,7/13/18,,($5.58),14.0,
10,keepbusy_cross(SELL),Sell to Close,-14.0,$67.51,7/31/18,($17.42),($23.84),0.0,
