Symbol: DVY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,15.0,$62.90,1/9/06,,$3.00,15.0,
2,keepbusy_cross(SELL),Sell to Close,-15.0,$61.97,1/23/06,($13.92),($13.92),0.0,
3,keepbusy_cross(Buy),Buy to Open,15.0,$63.15,2/17/06,,($12.12),15.0,
4,keepbusy_cross(SELL),Sell to Close,-15.0,$62.06,3/9/06,($16.33),($30.26),0.0,
5,keepbusy_cross(Buy),Buy to Open,15.0,$64.15,6/5/06,,($43.76),15.0,
6,keepbusy_cross(SELL),Sell to Close,-15.0,$62.99,6/7/06,($17.36),($47.61),0.0,
7,keepbusy_cross(Buy),Buy to Open,19.0,$50.55,2/4/11,,($47.61),19.0,
8,keepbusy_cross(SELL),Sell to Close,-19.0,$49.79,3/17/11,($14.38),($61.99),0.0,
9,keepbusy_cross(Buy),Buy to Open,17.0,$56.78,4/27/12,,($60.29),17.0,
10,keepbusy_cross(SELL),Sell to Close,-17.0,$55.21,5/16/12,($26.74),($88.73),0.0,
11,keepbusy_cross(Buy),Buy to Open,7.0,$126.52,3/18/22,,($89.92),7.0,
12,keepbusy_cross(SELL),Sell to Close,-7.0,$124.76,5/2/22,($12.34),($101.07),0.0,
