Symbol: FFBC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,148.0,$6.73,10/4/91,,$28.88,148.0,
2,keepbusy_cross(SELL),Sell to Close,-148.0,$7.90,12/4/92,$173.30,$173.30,0.0,
3,keepbusy_cross(Buy),Buy to Open,55.0,$17.89,12/27/04,,$155.70,55.0,
4,keepbusy_cross(SELL),Sell to Close,-55.0,$17.49,12/29/04,($22.00),$151.30,0.0,
5,keepbusy_cross(Buy),Buy to Open,54.0,$18.46,6/17/05,,$159.94,54.0,
6,keepbusy_cross(SELL),Sell to Close,-54.0,$18.04,6/27/05,($22.68),$128.62,0.0,
7,keepbusy_cross(Buy),Buy to Open,59.0,$16.69,7/1/11,,$142.78,59.0,
8,keepbusy_cross(SELL),Sell to Close,-59.0,$16.30,7/15/11,($23.24),$105.38,0.0,
9,keepbusy_cross(Buy),Buy to Open,59.0,$16.90,9/12/14,,$107.15,59.0,
10,keepbusy_cross(SELL),Sell to Close,-59.0,$16.55,9/17/14,($20.65),$84.73,0.0,
11,keepbusy_cross(Buy),Buy to Open,59.0,$16.72,10/31/14,,$133.11,59.0,
12,keepbusy_cross(SELL),Sell to Close,-59.0,$17.07,1/8/15,$20.49,$105.22,0.0,
