Symbol: FRT Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,11.0,$88.71,11/4/11,,$6.38,11.0,
2,keepbusy_cross(SELL),Sell to Close,-11.0,$85.95,11/11/11,($30.40),($30.40),0.0,
3,keepbusy_cross(Buy),Buy to Open,11.0,$87.42,12/2/11,,($8.62),11.0,
4,keepbusy_cross(SELL),Sell to Close,-11.0,$96.12,5/21/12,$95.69,$65.29,0.0,
5,keepbusy_cross(Buy),Buy to Open,6.0,$157.06,5/6/16,,$68.29,6.0,
6,keepbusy_cross(SELL),Sell to Close,-6.0,$151.43,5/19/16,($33.76),$31.53,0.0,
7,keepbusy_cross(Buy),Buy to Open,9.0,$101.99,3/8/24,,$33.15,9.0,
8,keepbusy_cross(SELL),Sell to Close,-9.0,$98.70,3/15/24,($29.63),$1.89,0.0,
9,keepbusy_cross(Buy),Buy to Open,9.0,$104.93,7/12/24,,$14.31,9.0,
10,keepbusy_cross(SELL),Sell to Close,-9.0,$110.46,11/4/24,$49.80,$51.70,0.0,
