Symbol: GSK Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,56.0,$17.63,8/20/93,,$0.00,56.0,
2,keepbusy_cross(SELL),Sell to Close,-56.0,$17.46,8/23/93,($9.24),($9.24),0.0,
3,keepbusy_cross(Buy),Buy to Open,16.0,$59.38,10/27/00,,($13.24),16.0,
4,keepbusy_cross(SELL),Sell to Close,-16.0,$57.54,11/1/00,($29.43),($38.67),0.0,
5,keepbusy_cross(Buy),Buy to Open,21.0,$46.69,4/20/12,,($26.07),21.0,
6,keepbusy_cross(SELL),Sell to Close,-21.0,$45.23,5/10/12,($30.66),($69.33),0.0,
7,keepbusy_cross(Buy),Buy to Open,21.0,$46.69,7/20/12,,($78.36),21.0,
8,keepbusy_cross(SELL),Sell to Close,-21.0,$45.14,7/24/12,($32.55),($101.88),0.0,
9,keepbusy_cross(Buy),Buy to Open,21.0,$47.45,10/5/12,,($103.35),21.0,
10,keepbusy_cross(SELL),Sell to Close,-21.0,$45.79,10/12/12,($34.87),($136.76),0.0,
11,keepbusy_cross(Buy),Buy to Open,18.0,$53.22,11/22/13,,($134.24),18.0,
12,keepbusy_cross(SELL),Sell to Close,-18.0,$51.63,12/12/13,($28.56),($165.31),0.0,
13,keepbusy_cross(Buy),Buy to Open,18.0,$53.68,1/17/14,,($157.75),18.0,
14,keepbusy_cross(SELL),Sell to Close,-18.0,$51.98,1/30/14,($30.67),($195.98),0.0,
15,keepbusy_cross(Buy),Buy to Open,23.0,$43.34,7/1/16,,($199.89),23.0,
16,keepbusy_cross(SELL),Sell to Close,-23.0,$43.07,9/2/16,($6.21),($202.19),0.0,
