Symbol: HAS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,59.0,$16.67,9/27/96,,$3.28,59.0,
2,keepbusy_cross(SELL),Sell to Close,-59.0,$17.13,12/16/96,$27.01,$27.01,0.0,
3,keepbusy_cross(Buy),Buy to Open,48.0,$20.58,6/17/05,,$30.85,48.0,
4,keepbusy_cross(SELL),Sell to Close,-48.0,$20.18,6/24/05,($19.40),$7.61,0.0,
5,keepbusy_cross(Buy),Buy to Open,48.0,$20.79,7/1/05,,$10.49,48.0,
6,keepbusy_cross(SELL),Sell to Close,-48.0,$20.43,8/19/05,($17.28),($9.67),0.0,
7,keepbusy_cross(Buy),Buy to Open,11.0,$83.90,11/11/16,,($2.08),11.0,
8,keepbusy_cross(SELL),Sell to Close,-11.0,$81.98,12/19/16,($21.13),($30.80),0.0,
9,keepbusy_cross(Buy),Buy to Open,10.0,$95.55,1/26/18,,($52.40),10.0,
10,keepbusy_cross(SELL),Sell to Close,-10.0,$93.90,1/29/18,($16.55),($47.34),0.0,
11,keepbusy_cross(Buy),Buy to Open,10.0,$97.93,8/27/21,,($42.14),10.0,
12,keepbusy_cross(SELL),Sell to Close,-10.0,$96.76,9/15/21,($11.73),($59.07),0.0,
