Symbol: HMC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,187.0,$5.34,8/30/91,,$29.22,187.0,
2,keepbusy_cross(SELL),Sell to Close,-187.0,$5.60,11/18/91,$48.27,$48.27,0.0,
3,keepbusy_cross(Buy),Buy to Open,184.0,$5.41,1/29/93,,$31.02,184.0,
4,keepbusy_cross(SELL),Sell to Close,-184.0,$5.88,6/22/93,$86.25,$134.52,0.0,
5,keepbusy_cross(Buy),Buy to Open,135.0,$7.38,1/28/94,,$185.14,135.0,
6,keepbusy_cross(SELL),Sell to Close,-135.0,$8.59,7/28/94,$164.53,$299.05,0.0,
7,keepbusy_cross(Buy),Buy to Open,63.0,$15.69,8/8/97,,$307.91,63.0,
8,keepbusy_cross(SELL),Sell to Close,-63.0,$15.37,8/25/97,($19.99),$279.06,0.0,
9,keepbusy_cross(Buy),Buy to Open,62.0,$16.13,9/19/97,,$321.68,62.0,
10,keepbusy_cross(SELL),Sell to Close,-62.0,$16.01,10/28/97,($7.41),$271.65,0.0,
11,keepbusy_cross(Buy),Buy to Open,44.0,$22.34,3/19/04,,$270.33,44.0,
12,keepbusy_cross(SELL),Sell to Close,-44.0,$21.68,4/16/04,($28.98),$242.67,0.0,
13,keepbusy_cross(Buy),Buy to Open,33.0,$29.44,3/10/06,,$258.18,33.0,
14,keepbusy_cross(SELL),Sell to Close,-33.0,$30.33,6/9/06,$29.37,$272.04,0.0,
15,keepbusy_cross(Buy),Buy to Open,29.0,$33.88,9/1/06,,$275.52,29.0,
16,keepbusy_cross(SELL),Sell to Close,-29.0,$32.51,9/8/06,($39.73),$232.31,0.0,
17,keepbusy_cross(Buy),Buy to Open,29.0,$33.64,8/15/08,,$239.27,29.0,
18,keepbusy_cross(SELL),Sell to Close,-29.0,$32.54,8/20/08,($31.78),$200.53,0.0,
19,keepbusy_cross(Buy),Buy to Open,30.0,$32.62,9/20/24,,$203.53,30.0,
20,keepbusy_cross(SELL),Sell to Close,-30.0,$31.94,10/1/24,($20.40),$180.13,0.0,
