Symbol: IWB Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,17.0,$57.28,12/1/03,,$8.84,17.0,
2,keepbusy_cross(SELL),Sell to Close,-17.0,$59.38,3/23/04,$35.62,$35.62,0.0,
3,keepbusy_cross(Buy),Buy to Open,16.0,$60.50,10/29/04,,$38.02,16.0,
4,keepbusy_cross(SELL),Sell to Close,-16.0,$63.96,3/22/05,$55.29,$90.91,0.0,
5,keepbusy_cross(Buy),Buy to Open,14.0,$70.42,8/18/06,,$94.13,14.0,
6,keepbusy_cross(SELL),Sell to Close,-14.0,$76.50,2/28/07,$85.11,$176.02,0.0,
7,keepbusy_cross(Buy),Buy to Open,11.0,$84.19,7/13/07,,$178.22,11.0,
8,keepbusy_cross(SELL),Sell to Close,-11.0,$81.02,7/27/07,($34.83),$141.19,0.0,
9,keepbusy_cross(Buy),Buy to Open,12.0,$81.41,1/7/13,,$137.95,12.0,
10,keepbusy_cross(SELL),Sell to Close,-12.0,$87.78,6/25/13,$76.44,$217.63,0.0,
11,keepbusy_cross(Buy),Buy to Open,8.0,$117.46,3/20/15,,$226.51,8.0,
12,keepbusy_cross(SELL),Sell to Close,-8.0,$114.97,3/27/15,($19.92),$197.71,0.0,
13,keepbusy_cross(Buy),Buy to Open,4.0,$221.90,3/31/23,,$211.03,4.0,
14,keepbusy_cross(SELL),Sell to Close,-4.0,$240.00,9/22/23,$72.39,$270.10,0.0,
