Symbol: KMB Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,65.0,$15.31,1/20/89,,($12.19),65.0,
2,keepbusy_cross(SELL),Sell to Close,-65.0,$14.89,3/21/89,($27.56),($27.56),0.0,
3,keepbusy_cross(Buy),Buy to Open,16.0,$60.00,8/13/99,,($9.56),16.0,
4,keepbusy_cross(SELL),Sell to Close,-16.0,$58.09,8/25/99,($30.59),($58.15),0.0,
5,keepbusy_cross(Buy),Buy to Open,16.0,$58.88,7/14/00,,($69.15),16.0,
6,keepbusy_cross(SELL),Sell to Close,-16.0,$56.74,7/24/00,($34.08),($92.24),0.0,
7,keepbusy_cross(Buy),Buy to Open,16.0,$59.13,7/28/00,,($79.24),16.0,
8,keepbusy_cross(SELL),Sell to Close,-16.0,$57.92,8/10/00,($19.21),($111.45),0.0,
9,keepbusy_cross(Buy),Buy to Open,19.0,$51.32,9/19/03,,($116.39),19.0,
10,keepbusy_cross(SELL),Sell to Close,-19.0,$50.90,9/23/03,($7.98),($119.43),0.0,
11,keepbusy_cross(Buy),Buy to Open,14.0,$69.55,9/21/07,,($113.69),14.0,
12,keepbusy_cross(SELL),Sell to Close,-14.0,$69.07,9/26/07,($6.66),($126.09),0.0,
13,keepbusy_cross(Buy),Buy to Open,14.0,$69.90,10/26/07,,($112.37),14.0,
14,keepbusy_cross(SELL),Sell to Close,-14.0,$68.77,11/5/07,($15.84),($141.94),0.0,
15,keepbusy_cross(Buy),Buy to Open,14.0,$67.81,7/22/11,,($140.68),14.0,
16,keepbusy_cross(SELL),Sell to Close,-14.0,$66.15,7/28/11,($23.22),($165.16),0.0,
17,keepbusy_cross(Buy),Buy to Open,8.0,$112.01,10/24/14,,($156.44),8.0,
18,keepbusy_cross(SELL),Sell to Close,-8.0,$109.17,11/4/14,($22.69),($187.85),0.0,
19,keepbusy_cross(Buy),Buy to Open,9.0,$108.70,7/10/15,,($178.67),9.0,
20,keepbusy_cross(SELL),Sell to Close,-9.0,$105.82,8/25/15,($25.92),($213.77),0.0,
