Symbol: L Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,117.0,$8.49,4/20/92,,$1.17,117.0,
2,keepbusy_cross(SELL),Sell to Close,-117.0,$8.22,5/19/92,($31.15),($31.15),0.0,
3,keepbusy_cross(Buy),Buy to Open,143.0,$6.98,10/28/94,,($34.01),143.0,
4,keepbusy_cross(SELL),Sell to Close,-143.0,$6.93,11/1/94,($6.91),($38.06),0.0,
5,keepbusy_cross(Buy),Buy to Open,78.0,$12.71,10/4/96,,($14.66),78.0,
6,keepbusy_cross(SELL),Sell to Close,-78.0,$15.31,3/24/97,$203.16,$165.11,0.0,
7,keepbusy_cross(Buy),Buy to Open,78.0,$12.77,8/13/99,,$177.20,78.0,
8,keepbusy_cross(SELL),Sell to Close,-78.0,$12.77,9/3/99,$0.06,$165.17,0.0,
9,keepbusy_cross(Buy),Buy to Open,49.0,$20.35,5/3/02,,$177.58,49.0,
10,keepbusy_cross(SELL),Sell to Close,-49.0,$19.58,5/20/02,($37.49),$127.68,0.0,
11,keepbusy_cross(Buy),Buy to Open,51.0,$19.50,10/1/04,,$131.93,51.0,
12,keepbusy_cross(SELL),Sell to Close,-51.0,$19.19,10/15/04,($15.58),$112.10,0.0,
13,keepbusy_cross(Buy),Buy to Open,27.0,$36.92,2/22/16,,$126.41,27.0,
14,keepbusy_cross(SELL),Sell to Close,-27.0,$36.83,2/24/16,($2.49),$109.61,0.0,
15,keepbusy_cross(Buy),Buy to Open,15.0,$65.14,11/3/23,,$119.36,15.0,
16,keepbusy_cross(SELL),Sell to Close,-15.0,$74.77,5/24/24,$144.50,$254.11,0.0,
17,keepbusy_cross(Buy),Buy to Open,12.0,$78.37,8/16/24,,$261.31,12.0,
18,keepbusy_cross(SELL),Sell to Close,-12.0,$77.18,9/12/24,($14.22),$239.89,0.0,
19,keepbusy_cross(Buy),Buy to Open,12.0,$82.08,11/8/24,,$252.25,12.0,
20,keepbusy_cross(SELL),Sell to Close,-12.0,$80.83,12/20/24,($15.02),$224.87,0.0,
