Symbol: SSL Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,88.0,$11.25,9/27/02,,$2.64,88.0,
2,keepbusy_cross(SELL),Sell to Close,-88.0,$10.85,10/8/02,($34.87),($34.87),0.0,
3,keepbusy_cross(Buy),Buy to Open,87.0,$11.39,12/20/02,,$32.12,87.0,
4,keepbusy_cross(SELL),Sell to Close,-87.0,$11.30,1/22/03,($7.46),($42.33),0.0,
5,keepbusy_cross(Buy),Buy to Open,28.0,$34.96,2/16/07,,($41.21),28.0,
6,keepbusy_cross(SELL),Sell to Close,-28.0,$34.16,2/27/07,($22.38),($64.71),0.0,
7,keepbusy_cross(Buy),Buy to Open,26.0,$38.43,8/31/07,,($17.91),26.0,
8,keepbusy_cross(SELL),Sell to Close,-26.0,$45.35,12/19/07,$179.91,$115.20,0.0,
9,keepbusy_cross(Buy),Buy to Open,25.0,$39.35,7/23/10,,$118.20,25.0,
10,keepbusy_cross(SELL),Sell to Close,-25.0,$38.52,8/20/10,($20.70),$94.51,0.0,
11,keepbusy_cross(Buy),Buy to Open,36.0,$27.70,12/9/16,,$92.71,36.0,
12,keepbusy_cross(SELL),Sell to Close,-36.0,$28.34,3/1/17,$22.96,$117.47,0.0,
