Symbol: XLP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,38.0,$25.79,2/25/02,,$1.52,38.0,
2,keepbusy_cross(SELL),Sell to Close,-38.0,$25.46,4/5/02,($12.54),($12.54),0.0,
3,keepbusy_cross(Buy),Buy to Open,41.0,$24.09,5/26/06,,($12.54),41.0,
4,keepbusy_cross(SELL),Sell to Close,-41.0,$23.66,6/6/06,($17.69),($30.23),0.0,
5,keepbusy_cross(Buy),Buy to Open,38.0,$25.85,11/17/06,,($28.71),38.0,
6,keepbusy_cross(SELL),Sell to Close,-38.0,$26.07,2/28/07,$8.38,($21.85),0.0,
7,keepbusy_cross(Buy),Buy to Open,36.0,$27.12,9/3/10,,($15.73),36.0,
8,keepbusy_cross(SELL),Sell to Close,-36.0,$29.07,3/16/11,$70.20,$48.35,0.0,
9,keepbusy_cross(Buy),Buy to Open,18.0,$53.56,6/6/16,,$49.43,18.0,
10,keepbusy_cross(SELL),Sell to Close,-18.0,$53.69,9/12/16,$2.34,$50.69,0.0,
11,keepbusy_cross(Buy),Buy to Open,19.0,$52.58,1/23/17,,$50.31,19.0,
12,keepbusy_cross(SELL),Sell to Close,-19.0,$55.26,6/30/17,$50.85,$101.54,0.0,
13,keepbusy_cross(Buy),Buy to Open,15.0,$64.18,2/7/20,,$102.74,15.0,
14,keepbusy_cross(SELL),Sell to Close,-15.0,$62.34,2/26/20,($27.66),$73.88,0.0,
15,keepbusy_cross(Buy),Buy to Open,13.0,$72.96,12/10/21,,$89.87,13.0,
16,keepbusy_cross(SELL),Sell to Close,-13.0,$73.82,2/25/22,$11.24,$85.11,0.0,
